,Urban Aggl,change_abs_p0,change_abs_p10,change_abs_p100,change_abs_p20,change_abs_p30,change_abs_p40,change_abs_p50,change_abs_p60,change_abs_p70,change_abs_p80,change_abs_p90,change_norm_p0,change_norm_p10,change_norm_p100,change_norm_p20,change_norm_p30,change_norm_p40,change_norm_p50,change_norm_p60,change_norm_p70,change_norm_p80,change_norm_p90,max_extent,occurrence_p0,occurrence_p10,occurrence_p100,occurrence_p20,occurrence_p30,occurrence_p40,occurrence_p50,occurrence_p60,occurrence_p70,occurrence_p80,occurrence_p90,reach,recurrence_p0,recurrence_p10,recurrence_p100,recurrence_p20,recurrence_p30,recurrence_p40,recurrence_p50,recurrence_p60,recurrence_p70,recurrence_p80,recurrence_p90,seasonality_p0,seasonality_p10,seasonality_p100,seasonality_p20,seasonality_p30,seasonality_p40,seasonality_p50,seasonality_p60,seasonality_p70,seasonality_p80,seasonality_p90
20,Posadas,-66.0,-1.0,86.0,-1.0,0.0,0.0,4.0,30.000000000000004,43.99999999999999,49.56754278278633,51.99999999999999,-100.0,0.0,100.0000000000002,0.0,0.0,0.0,6.0,90.00000000000001,94.54388692385255,97.0,100.0000000000002,95449.37254902002,0.0,39.00000000000127,100.0,43.99944986258424,96.91411588601568,96.91411588601568,97.99999999996592,97.99999999996592,97.99999999996592,97.99999999996592,97.99999999996592,upstream,10.0,40.00000000000001,100.0,47.877765287407,56.891777085286215,92.0,100.0,100.0,100.0,100.0,100.0,1.0,11.99999999999997,12.0,11.99999999999997,11.99999999999997,11.99999999999997,11.99999999999997,11.99999999999997,11.99999999999997,11.99999999999997,11.99999999999997
21,Posadas,-71.0,-1.0,95.0,-1.0,-1.0,0.0,0.0,23.0,53.99999999999999,57.0,60.99999999999999,-100.0,0.0,100.0,0.0,0.0,0.0,0.0,58.0,92.0,96.0,100.0,113556.43921568626,0.0,48.99999999999913,100.0,55.00000000000113,96.99999999999964,97.999999999955,97.999999999955,97.999999999955,97.999999999955,99.00000000000048,99.00000000000048,city,14.0,47.99999999999999,100.0,59.99999999999999,93.0,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,99.9999999999999,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
22,Posadas,-51.0,-1.0,97.0,0.0,0.0,41.0,51.15553875506207,59.59451698092301,61.638887854730925,64.41186091654492,68.00000000000001,-100.0,0.0,100.0,0.0,0.0,45.0,47.00000000000001,50.99999999999999,68.0,97.66376250425638,100.0,447777.14901960816,0.0,47.52089156574389,99.00000000010508,78.63914620718309,82.00685198813035,83.12485037141411,83.12485037141411,97.9999999998651,97.9999999998651,97.9999999998651,98.21545733759068,downstream,11.0,68.0,100.00000000000006,82.03902642964833,87.91849306615015,91.00000000000011,96.6937573711165,100.00000000000006,100.00000000000006,100.00000000000006,100.00000000000006,1.0,11.999999999999982,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991,11.999999999999991
23,Resistencia,-95.0,-34.99999999999999,98.0,-18.59740207024756,-9.51584185283571,-4.0,0.0,0.0,2.0,4.0,5.000000000000001,-100.0,-66.0,100.00000000000004,-30.584238838954445,-9.0,0.0,0.0,2.0,49.0,100.00000000000004,100.00000000000004,415564.1725490197,0.0,28.778174578968454,100.0,60.73709880351488,81.81929794143406,90.7942766625001,95.82326740374933,96.89550732424848,97.9716668560878,97.9716668560878,98.40231720478852,downstream,6.0,34.47790432846817,100.0,49.99999999999997,66.0,77.0,95.0,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,1.0,2.0,12.0,5.532603842246854,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998
24,Resistencia,-68.0,-19.0,41.0,-13.0,-10.0,-7.0,1.0,1.0,1.0,4.0,8.0,-100.0,-100.0,100.0,-93.0,-49.0,-18.0,36.0,100.0,100.0,100.0,100.0,2646.803921568627,0.0,2.999999999999999,76.0,7.000000000000006,10.999999999999996,15.000000000000009,22.0,30.00000000000001,40.0,48.0,60.99999999999999,upstream,6.0,28.0,100.0,45.0,60.0,72.0,85.0,100.0,100.0,100.0,100.0,1.0,1.0,12.0,1.0,1.0,2.0,3.0,6.0,7.0,12.0,12.0
25,Resistencia,-100.0,-50.00000000000001,97.0,-38.0,-28.0,-22.000000000000004,-17.0,-10.000000000000002,0.0,3.0,15.0,-100.0,-100.0,100.0,-97.0,-77.0,-51.0,-30.000000000000004,-10.0,0.0,24.0,100.0,27746.933333333327,0.0,18.99999999999996,99.0,36.000000000000085,48.99999999999998,63.00000000000007,76.00000000000004,86.00000000000013,92.99999999999991,95.99999999999947,97.99999999999864,city,8.0,31.0,100.0,41.00000000000001,52.0,64.0,77.0,88.00000000000001,100.0,100.0,100.0,1.0,2.0,12.0,4.0,7.0,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996
26,Rosario,-128.0,-28.999999999999996,98.0,-21.950707098556407,-17.000000000000004,-12.999999999999996,-10.0,-6.000000000000001,-1.0,2.0,4.0,-128.0,-64.0,100.00000000000009,-49.0,-36.00000000000001,-23.0,-10.0,0.0,5.999999999999999,31.0,100.00000000000004,5717617.129411764,0.0,9.082789549645822,100.0,15.000000000002755,28.24132377572784,45.726486224433,65.74800391309478,82.77665612966867,91.28814035239024,96.29015371951785,98.42056898861004,downstream,6.0,27.2071645388472,100.00000000000006,37.0,45.09209132394644,51.260837703162174,58.11061721230892,65.36377720567404,80.01394264351684,97.0,100.0,1.0,1.0,12.000000000000002,2.0606174852264205,2.0606174852264205,4.0,11.99999999999999,12.0,12.0,12.0,12.0
27,Rosario,-97.0,-34.78523144454189,96.0,-22.760298945020917,-15.538564088348226,-11.371571579829164,-8.0,-3.799805221226374,0.0,2.156536240845967,4.0,-100.0,-61.84478927667873,100.00000000000009,-46.73303334733098,-32.99999999999999,-19.762877812531958,-6.999999999999999,0.0,10.0,41.269103709176505,100.0,2311200.5764705883,0.0,11.511334230834972,100.0,22.99653980775148,36.62653419201021,55.30538612873952,72.93553054733215,86.55248560643037,93.6261492691259,98.3649257065534,99.00000000003352,city,6.0,29.62268734003626,100.00000000000028,38.04173509981796,46.24103245127882,54.06178848885584,63.00000000000001,74.0,91.02875857281394,99.99999999999996,99.99999999999996,1.0,1.0,12.000000000000002,2.4325586917925754,4.0,5.064950703993142,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998,11.999999999999998
28,Rosario,-128.0,-43.0,98.0,-31.0,-23.0,-17.000000000000004,-13.000000000000004,-8.0,-2.0,0.0,2.0,-128.0,-75.0,100.00000000000009,-58.76508419374628,-44.805198568406034,-32.0,-20.0,-6.0,0.0,0.0,54.99999999999999,2701747.203921569,0.0,20.97427977891732,100.0,41.74320694907436,62.4073678793339,78.6180625112759,87.76681364905612,93.50079204766114,96.3627783315641,98.62890591439816,98.62890591439816,upstream,6.0,33.00580232513758,100.0,46.01036907623367,56.16720902910714,66.0805028661586,77.1112403485445,91.01748492919336,100.0,100.0,100.0,1.0,2.04627993619658,12.0,3.0,11.999999999999998,12.0,12.0,12.0,12.0,12.0,12.0
29,San Salvador de Jujuy,-78.0,-17.0,82.0,5.0,7.0,9.0,16.0,25.0,40.0,53.0,59.0,-100.0,-15.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,644.4274509803921,0.0,15.0,83.0,27.0,36.0,40.0,43.99999999999999,46.0,48.0,50.00000000000001,58.0,downstream,32.0,69.0,100.0,87.0,97.0,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,1.0,2.0,12.0,3.0,4.0,4.999999999999999,5.999999999999998,5.999999999999998,5.999999999999998,6.999999999999998,8.0
30,San Salvador de Jujuy,-68.0,-29.0,66.0,-19.0,4.0,6.0,9.0,11.0,14.0,17.0,22.0,-100.0,-41.0,100.0,-14.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,404.0,0.0,4.0,84.0,6.000000000000004,8.999999999999998,18.0,32.0,50.0,63.0,72.99999999999999,77.99999999999999,upstream,21.0,44.0,100.0,66.0,75.0,83.0,94.0,100.0,100.0,100.0,100.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0
31,San Salvador de Jujuy,-61.0,-39.0,27.0,-14.0,1.0,5.0,6.0,7.0,8.0,11.0,15.0,-100.0,-60.0,100.0,7.0,51.0,100.0,100.0,100.0,100.0,100.0,100.0,105.49803921568628,0.0,2.0,30.0,3.000000000000001,5.999999999999998,8.0,9.000000000000002,11.0,18.0,20.0,28.0,city,27.0,40.0,100.0,57.0,66.0,80.0,86.0,100.0,100.0,100.0,100.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
32,Santa Fe,-128.0,-55.99999999999999,99.0,-35.51285049328497,-21.999999999999996,-13.999999999999996,-6.999999999999998,-2.0,0.0,3.0,5.0,-128.0,-86.53070100999348,100.0,-59.0,-35.0,-16.0,-3.0000000000000004,0.0,1.0,45.0,100.0,504098.21960784326,0.0,26.00000000000004,99.00000000001286,53.00000000000016,73.90417168761071,85.00000000000304,90.892595090028,93.91981990856542,96.9066396357409,98.00000000001074,99.00000000001144,downstream,6.0,26.0,100.00000000000011,40.23716960977085,54.388640930520125,69.00000000000001,87.81527382294263,100.00000000000011,100.00000000000011,100.00000000000011,100.00000000000011,1.0,3.0,12.0,5.0,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,11.999999999999996,12.0
33,Santa Fe,-128.0,-41.0,98.0,-26.564801602566423,-18.0,-12.999999999999998,-9.0,-4.0,0.0,0.0,3.0000000000000027,-128.0,-84.0,100.0,-57.99999999999999,-42.00000000000001,-26.999999999999996,-11.0,-1.0,0.0,1.0,99.9996009943136,335486.92156862764,0.0,24.628587346151654,100.0,53.00000000000006,81.00000000000043,92.83605287387792,96.5247167289946,98.00000000001674,99.00000000001532,99.00000000001532,99.00000000001532,city,7.0,28.22333723761934,100.0000000000001,41.00000000000001,54.0,66.13324866987958,81.57786428029891,96.8868306122059,100.00000000000006,100.00000000000006,100.00000000000006,1.0,3.0,12.000000000000004,6.000000000000001,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004,12.000000000000004
34,Santa Fe,-128.0,-45.563290983113966,98.0,-31.545024688758595,-21.62547672201889,-16.0,-11.56416897742151,-6.999999999999999,-2.0,0.0,3.0,-128.0,-84.88046631747501,100.00000000000004,-65.0,-49.99999999999999,-36.59706471995495,-22.82318942906735,-5.999999999999999,0.0,1.0,100.0,849246.6705882351,0.0,17.222293683569497,100.0,38.20849485456149,62.00000000000003,81.6255982388177,90.83759832718869,94.92878797800674,97.71183304171944,98.1435207093274,99.00000000001668,upstream,7.0,33.0,100.00000000000004,46.0,55.64327220063534,65.5500400989303,75.03416217807757,89.13308976351739,100.0,100.0,100.0,1.0,2.0,12.000000000000012,4.0,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002
35,Belï¿½m,-128.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106143.5372549023,0.0,98.70764313043146,100.0,99.01313837750904,99.01313837750904,99.01313837750904,99.01313837750904,99.01313837750904,99.01313837750904,100.0,100.0,downstream,8.0,99.99999999999996,100.0,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,100.0,100.0,100.0,100.0,1.0,11.99988903178127,12.0,11.99988903178127,11.99988903178127,11.99988903178127,11.99988903178127,11.99988903178127,11.99988903178127,11.99988903178127,11.999999999999996
36,Belï¿½m,-128.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101814.6156862745,0.0,97.00000000000016,100.0,98.652743640029,98.652743640029,98.652743640029,98.652743640029,98.652743640029,98.652743640029,98.99999999999643,98.99999999999643,city,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002
