,AC_AREA,AXIS_FID,CLOUD_SCORE,COVERAGE_SCORE,DATE_ACQUIRED,DGO_Area,DGO_FID,DGO_WIDTH,DISTANCE,LANDSAT_PRODUCT_ID,ORDERING_F,Type_I,Type_II,Type_III,Type_IV,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_WATER_MNDWI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,Type_V
20,811,1,85,100,2020-01-10,1855703.542,6,974.91577,10000,LC08_L2SP_137039_20200110_20200823_02_T1,1000006,1,2,6,0,25,645.4031084158968,83,1736.1719251470854,-0.04934204337262625,0.047854832944607906,-0.049411109675171865,0.04791049546235454,0.04223705166577308,-0.19490228206039392,0.15393196864856692,
21,2060,1,3,100,2020-01-26,1855703.542,6,974.91577,10000,LC08_L2SP_137039_20200126_20200823_02_T1,1000006,1,2,6,0,0,0.0,175,4858.759805708691,-0.08435044979238142,0.027659053298287665,-0.08441887910265401,0.027690384651357758,0.03991170530807941,,,
22,0,1,100,100,2020-01-02,1855703.542,6,974.91577,10000,LE07_L2SP_137039_20200102_20200822_02_T1,1000006,1,2,6,0,0,0.0,0,0.0,,,,,,,,
23,2060,1,13,100,2020-01-18,1855703.542,6,974.91577,10000,LE07_L2SP_137039_20200118_20200822_02_T1,1000006,1,2,6,0,0,0.0,272,6578.255185063212,-0.07578448126220043,0.013606233339507815,-0.07591228737995902,0.013647577082627349,0.05167061820434551,,,
24,301,1,18,100,2020-01-10,301420.323,7,2033.3434,12000,LC08_L2SP_137039_20200110_20200823_02_T1,1000007,1,3,0,0,0,0.0,0,0.0,-0.02578251031317913,0.029365976166311404,-0.026032051248720295,0.029440895493347437,,,,
25,334,1,2,100,2020-01-26,301420.323,7,2033.3434,12000,LC08_L2SP_137039_20200126_20200823_02_T1,1000007,1,3,0,0,0,0.0,29,1456.326990191569,-0.03294572118497588,0.000799330716514517,-0.03453855706510684,0.0016075293470212563,0.06474574624066291,,,
26,0,1,100,100,2020-01-02,301420.323,7,2033.3434,12000,LE07_L2SP_137039_20200102_20200822_02_T1,1000007,1,3,0,0,0,0.0,0,0.0,,,,,,,,
27,334,1,21,100,2020-01-18,301420.323,7,2033.3434,12000,LE07_L2SP_137039_20200118_20200822_02_T1,1000007,1,3,0,0,0,0.0,37,1546.2603332593387,-0.02718912402918426,-0.003070452081840626,-0.02913690460117373,-0.00247127950671639,0.0573197748013851,,,
28,330,1,36,100,2020-01-10,301817.885,8,2778.90521,14000,LC08_L2SP_137039_20200110_20200823_02_T1,1000008,1,3,0,0,0,0.0,61,1678.6753032853617,-0.02170965108804112,0.033063129095800045,-0.021703229613264523,0.03302264091849292,0.009604553744728255,,,
29,334,1,0,100,2020-01-26,301817.885,8,2778.90521,14000,LC08_L2SP_137039_20200126_20200823_02_T1,1000008,1,3,0,0,0,0.0,20,1180.014708202265,-0.03847266588497864,0.0035412953574662305,-0.03939620535781602,0.004038601084287116,0.06330919256688014,,,
30,0,1,100,100,2020-01-02,301817.885,8,2778.90521,14000,LE07_L2SP_137039_20200102_20200822_02_T1,1000008,1,3,0,0,0,0.0,0,0.0,,,,,,,,
31,334,1,14,100,2020-01-18,301817.885,8,2778.90521,14000,LE07_L2SP_137039_20200118_20200822_02_T1,1000008,1,3,0,0,0,0.0,63,2537.4507733790906,-0.030963898470337523,-0.0006523938657588963,-0.032133708063102354,-0.00022084594086916893,0.06837033439584467,,,
32,70,1,96,100,2020-01-10,397951.489,9,3610.43699,16000,LC08_L2SP_137039_20200110_20200823_02_T1,1000009,1,2,0,0,0,0.0,41,845.1251104890474,0.016101480433692986,0.02448622154618474,0.013210771098009869,0.025750603308847653,0.016101480433692986,,,
33,442,1,2,100,2020-01-26,397951.489,9,3610.43699,16000,LC08_L2SP_137039_20200126_20200823_02_T1,1000009,1,2,0,0,0,0.0,144,2613.4245481241237,-0.021783258397674612,-0.007888137423549421,-0.022053636800059492,-0.007768433974357323,0.07659278298174217,,,
34,0,1,100,100,2020-01-02,397951.489,9,3610.43699,16000,LE07_L2SP_137039_20200102_20200822_02_T1,1000009,1,2,0,0,0,0.0,0,0.0,,,,,,,,
35,442,1,22,100,2020-01-18,397951.489,9,3610.43699,16000,LE07_L2SP_137039_20200118_20200822_02_T1,1000009,1,2,0,0,0,0.0,200,4080.2318979276765,-0.017247334977956167,-0.009953894274342968,-0.017370046642609018,-0.009888401185568054,0.07389236522213158,,,
36,0,1,100,100,2020-01-10,1261661.579,10,2032.12651,18000,LC08_L2SP_137039_20200110_20200823_02_T1,1000010,1,2,3,6,0,0.0,0,0.0,,,,,,,,
37,1407,1,1,100,2020-01-26,1261661.579,10,2032.12651,18000,LC08_L2SP_137039_20200126_20200823_02_T1,1000010,1,2,3,6,0,0.0,161,2823.718109921838,-0.09048708006575522,0.029092994348933702,-0.09042187484963526,0.02904840475916405,0.06943507501105751,,,
38,0,1,100,100,2020-01-02,1261661.579,10,2032.12651,18000,LE07_L2SP_137039_20200102_20200822_02_T1,1000010,1,2,3,6,0,0.0,0,0.0,,,,,,,,
39,1407,1,11,100,2020-01-18,1261661.579,10,2032.12651,18000,LE07_L2SP_137039_20200118_20200822_02_T1,1000010,1,2,3,6,0,0.0,233,3790.558005573994,-0.08198888153017006,0.015248296884455129,-0.08186422584716255,0.015256573432151007,0.05163145718694724,,,
