,AXIS_FID,DGO_Area,DGO_FID,DGO_WIDTH,DISTANCE,ORDERING_F,Type_I,Type_II,Type_III,Type_IV,change_abs_p0,change_abs_p10,change_abs_p100,change_abs_p20,change_abs_p30,change_abs_p40,change_abs_p50,change_abs_p60,change_abs_p70,change_abs_p80,change_abs_p90,change_norm_p0,change_norm_p10,change_norm_p100,change_norm_p20,change_norm_p30,change_norm_p40,change_norm_p50,change_norm_p60,change_norm_p70,change_norm_p80,change_norm_p90,max_extent,occurrence_p0,occurrence_p10,occurrence_p100,occurrence_p20,occurrence_p30,occurrence_p40,occurrence_p50,occurrence_p60,occurrence_p70,occurrence_p80,occurrence_p90,recurrence_p0,recurrence_p10,recurrence_p100,recurrence_p20,recurrence_p30,recurrence_p40,recurrence_p50,recurrence_p60,recurrence_p70,recurrence_p80,recurrence_p90,seasonality_p0,seasonality_p10,seasonality_p100,seasonality_p20,seasonality_p30,seasonality_p40,seasonality_p50,seasonality_p60,seasonality_p70,seasonality_p80,seasonality_p90
0,1,7012993.31,26,652.2462,50000,1000026,2,7,0,0,-128.0,-55.0,65.0,-34.0,-18.000000000000004,-7.0,1.0,7.000000000000001,13.0,19.0,27.0,-128.0,-79.00000000000001,100.0,-28.0,10.0,38.0,55.0,68.0,77.0,86.0,100.0,3550.823529411765,0.0,11.00000000000002,81.0,17.000000000000014,23.00000000000002,27.99999999999997,32.0,37.99999999999998,44.0,50.99999999999999,59.00000000000001,19.0,48.0,100.0,60.99999999999999,68.0,74.0,78.0,82.0,85.99999999999999,90.0,100.0,1.0,1.0,12.0,2.0,3.0,4.0,5.000000000000002,5.000000000000002,5.999999999999998,6.999999999999999,9.0
1,1,6321831.145,27,223.9966,52000,1000027,1,2,3,0,-128.0,-51.0,85.0,-38.99999999999999,-27.000000000000004,-15.0,-2.0,7.000000000000001,16.0,25.0,38.0,-128.0,-74.0,100.0,-43.0,-15.0,5.0,34.0,63.0,79.0,92.0,99.99999999999996,3284.7254901960805,0.0,12.999999999999986,94.0,21.999999999999982,29.99999999999999,35.0,41.99999999999999,47.00000000000004,51.99999999999999,59.0,69.99999999999999,13.0,50.0,100.0,60.0,68.0,75.0,78.99999999999999,84.0,88.99999999999999,94.0,100.0,1.0,1.0,12.0,2.0,3.000000000000001,4.0,5.0,6.0,7.0,9.000000000000002,10.0
